id,label,chunk_id,page_start,page_end,type,font_size,text,bbox,hyperlink_target,items_raw,level,order,figure_id,figure_number,page,caption_text,file,saved_ext,width_px,height_px,value
chunk_ch0000,Chunk,ch0000,6.0,6.0,paragraph,12.0,6,"(308.760009765625, 810.47998046875, 318.0, 824.3999633789062)",,,,,,,,,,,,,
chunk_ch0001,Chunk,ch0001,6.0,6.0,paragraph,22.08,О рассылках Maxbot,"(56.66400146484375, 42.42030334472656, 284.4921569824219, 69.97614288330078)",,,,,,,,,,,,,
chunk_ch0002,Chunk,ch0002,6.0,6.0,paragraph,18.0,Основные понятия,"(56.66400146484375, 85.26199340820312, 222.1060028076172, 107.72599029541016)",,,,,,,,,,,,,
chunk_ch0003,Chunk,ch0003,6.0,6.0,paragraph,12.0,"Консоль маркетолога (Marketer) — это интерфейс пользователя Maxbot, отвечающего за проведение рассылок для клиентов компании. Консоль маркетолога включает набор инструментов для автоматизации маркетинговых задач. Такими задачами могут являться, например, создание автоворонок продаж и информирование клиентов об акциях и предложениях.","(56.66400146484375, 119.32999420166016, 570.0220947265625, 133.25)",,,,,,,,,,,,,
chunk_ch0004,Chunk,ch0004,6.0,6.0,reference,12.0,"При помощи консоли маркетолога можно создать рассылки, позволяющие информировать клиентов компании с помощью мессенджеров или SMS-сообщений. Место консоли маркетолога в функциональной структуре Maxbot показано на рисунке 1.","(56.66400146484375, 212.4700164794922, 81.97200775146484, 226.3900146484375)",6,,,,,,,,,,,,
chunk_ch0005,Chunk,ch0005,7.0,7.0,paragraph,12.0,7,"(418.20001220703125, 563.9760131835938, 426.9599914550781, 577.89599609375)",,,,,,,,,,,,,
chunk_ch0006,Chunk,ch0006,7.0,7.0,reference,11.04,Рисунок 1 — Функциональная структура Maxbot,"(296.0199890136719, 496.67523193359375, 548.6900024414062, 509.48162841796875)",,,,,,,,,,,,,
chunk_ch0007,Chunk,ch0007,8.0,8.0,paragraph,12.0,"8 Каждая рассылка в Maxbot имеет определенный сценарий ее выполнения, аудиторию и условия запуска.","(308.5199890136719, 810.47998046875, 318.0, 824.3999633789062)",,,,,,,,,,,,,
chunk_ch0008,Chunk,ch0008,8.0,8.0,reference,12.0,"Сценарий рассылки — это набор действий, выполняемых для каждого клиента. Например, отправка ему сообщений и изображений через заданный промежуток времени. В консоли маркетолога сценарии рассылок создаются при помощи визуального конструктора (см. Рисунок 2).","(55.704097747802734, 89.29996490478516, 569.7221069335938, 103.21996307373047)",7,,,,,,,,,,,,
chunk_ch0009,Chunk,ch0009,8.0,8.0,reference,11.04,Рисунок 2 — Пример разработки сценария рассылки в конструкторе,"(130.85000610351562, 313.46319580078125, 495.4300231933594, 326.26959228515625)",,,,,,,,,,,,,
chunk_ch0010,Chunk,ch0010,8.0,8.0,paragraph,12.0,"Аудитория рассылки — это множество клиентов, для которых бот запускает сценарий рассылки. В некоторых случаях клиенты могут не получить рассылку. Например, если они отписались от рассылок или от бота в своем мессенджере.","(55.704097747802734, 336.3399658203125, 570.02197265625, 350.2599792480469)",,,,,,,,,,,,,
chunk_ch0011,Chunk,ch0011,8.0,8.0,paragraph,12.0,"Условия начала рассылки — это условия, при которых сценарий рассылки запускается для каждого из клиентов в аудитории рассылки. Например, наступление определенного времени, установка тега для клиента или возникновение внешнего события (клиент посетил сайт, оплатил заказ и т. д.).","(55.704097747802734, 394.4399719238281, 569.7841186523438, 408.3599853515625)",,,,,,,,,,,,,
chunk_ch0012,Chunk,ch0012,8.0,8.0,paragraph,18.0,Типы рассылок,"(56.66400146484375, 476.10198974609375, 193.75599670410156, 498.56597900390625)",,,,,,,,,,,,,
