source,target,relation
chunk_ch0006,figure_fig_0001,CAPTIONS
chunk_ch0009,figure_fig_0002,CAPTIONS
chunk_ch0037,figure_fig_0003,CAPTIONS
chunk_ch0040,figure_fig_0004,CAPTIONS
chunk_ch0041,figure_fig_0005,CAPTIONS
chunk_ch0043,figure_fig_0006,CAPTIONS
chunk_ch0049,figure_fig_0007,CAPTIONS
chunk_ch0052,figure_fig_0008,CAPTIONS
chunk_ch0054,figure_fig_0009,CAPTIONS
chunk_ch0056,figure_fig_0010,CAPTIONS
chunk_ch0059,figure_fig_0011,CAPTIONS
chunk_ch0061,figure_fig_0012,CAPTIONS
chunk_ch0063,figure_fig_0013,CAPTIONS
chunk_ch0089,figure_fig_0014,CAPTIONS
chunk_ch0092,figure_fig_0015,CAPTIONS
chunk_ch0106,figure_fig_0016,CAPTIONS
chunk_ch0110,figure_fig_0017,CAPTIONS
chunk_ch0112,figure_fig_0018,CAPTIONS
chunk_ch0122,figure_fig_0019,CAPTIONS
chunk_ch0139,figure_fig_0020,CAPTIONS
chunk_ch0157,figure_fig_0021,CAPTIONS
chunk_ch0160,figure_fig_0022,CAPTIONS
chunk_ch0171,figure_fig_0023,CAPTIONS
chunk_ch0173,figure_fig_0024,CAPTIONS
chunk_ch0187,figure_fig_0025,CAPTIONS
chunk_ch0198,figure_fig_0026,CAPTIONS
chunk_ch0204,figure_fig_0027,CAPTIONS
chunk_ch0210,figure_fig_0028,CAPTIONS
chunk_ch0212,figure_fig_0029,CAPTIONS
chunk_ch0215,figure_fig_0030,CAPTIONS
chunk_ch0219,figure_fig_0031,CAPTIONS
chunk_ch0233,figure_fig_0032,CAPTIONS
chunk_ch0237,figure_fig_0033,CAPTIONS
chunk_ch0244,figure_fig_0034,CAPTIONS
chunk_ch0246,figure_fig_0035,CAPTIONS
chunk_ch0250,figure_fig_0036,CAPTIONS
chunk_ch0254,figure_fig_0037,CAPTIONS
chunk_ch0257,figure_fig_0038,CAPTIONS
chunk_ch0260,figure_fig_0039,CAPTIONS
chunk_ch0262,figure_fig_0040,CAPTIONS
chunk_ch0269,figure_fig_0041,CAPTIONS
chunk_ch0271,figure_fig_0042,CAPTIONS
chunk_ch0276,figure_fig_0043,CAPTIONS
chunk_ch0282,figure_fig_0044,CAPTIONS
chunk_ch0295,figure_fig_0045,CAPTIONS
chunk_ch0303,figure_fig_0046,CAPTIONS
chunk_ch0305,figure_fig_0047,CAPTIONS
chunk_ch0307,figure_fig_0048,CAPTIONS
chunk_ch0309,figure_fig_0049,CAPTIONS
chunk_ch0314,figure_fig_0050,CAPTIONS
chunk_ch0317,figure_fig_0051,CAPTIONS
chunk_ch0324,figure_fig_0052,CAPTIONS
chunk_ch0326,figure_fig_0053,CAPTIONS
chunk_ch0333,figure_fig_0054,CAPTIONS
chunk_ch0340,figure_fig_0055,CAPTIONS
chunk_ch0350,figure_fig_0056,CAPTIONS
chunk_ch0356,figure_fig_0057,CAPTIONS
chunk_ch0362,figure_fig_0058,CAPTIONS
chunk_ch0373,figure_fig_0059,CAPTIONS
chunk_ch0375,figure_fig_0060,CAPTIONS
chunk_ch0380,figure_fig_0061,CAPTIONS
chunk_ch0382,figure_fig_0062,CAPTIONS
chunk_ch0387,figure_fig_0063,CAPTIONS
chunk_ch0391,figure_fig_0064,CAPTIONS
chunk_ch0399,figure_fig_0065,CAPTIONS
chunk_ch0407,figure_fig_0066,CAPTIONS
chunk_ch0419,figure_fig_0067,CAPTIONS
chunk_ch0425,figure_fig_0068,CAPTIONS
chunk_ch0427,figure_fig_0069,CAPTIONS
chunk_ch0431,figure_fig_0070,CAPTIONS
chunk_ch0436,figure_fig_0071,CAPTIONS
chunk_ch0440,figure_fig_0072,CAPTIONS
chunk_ch0443,figure_fig_0073,CAPTIONS
