source,target,relation
chunk_ch0014,listitem_ch0014_0,HAS_ITEM
chunk_ch0014,listitem_ch0014_1,HAS_ITEM
chunk_ch0019,listitem_ch0019_0,HAS_ITEM
chunk_ch0019,listitem_ch0019_1,HAS_ITEM
chunk_ch0030,listitem_ch0030_0,HAS_ITEM
chunk_ch0033,listitem_ch0033_0,HAS_ITEM
chunk_ch0034,listitem_ch0034_0,HAS_ITEM
chunk_ch0034,listitem_ch0034_1,HAS_ITEM
chunk_ch0034,listitem_ch0034_2,HAS_ITEM
chunk_ch0065,listitem_ch0065_0,HAS_ITEM
chunk_ch0065,listitem_ch0065_1,HAS_ITEM
chunk_ch0070,listitem_ch0070_0,HAS_ITEM
chunk_ch0073,listitem_ch0073_0,HAS_ITEM
chunk_ch0076,listitem_ch0076_0,HAS_ITEM
chunk_ch0076,listitem_ch0076_1,HAS_ITEM
chunk_ch0080,listitem_ch0080_0,HAS_ITEM
chunk_ch0083,listitem_ch0083_0,HAS_ITEM
chunk_ch0083,listitem_ch0083_1,HAS_ITEM
chunk_ch0083,listitem_ch0083_2,HAS_ITEM
chunk_ch0083,listitem_ch0083_3,HAS_ITEM
chunk_ch0094,listitem_ch0094_0,HAS_ITEM
chunk_ch0097,listitem_ch0097_0,HAS_ITEM
chunk_ch0100,listitem_ch0100_0,HAS_ITEM
chunk_ch0102,listitem_ch0102_0,HAS_ITEM
chunk_ch0102,listitem_ch0102_1,HAS_ITEM
chunk_ch0102,listitem_ch0102_2,HAS_ITEM
chunk_ch0102,listitem_ch0102_3,HAS_ITEM
chunk_ch0116,listitem_ch0116_0,HAS_ITEM
chunk_ch0116,listitem_ch0116_1,HAS_ITEM
chunk_ch0116,listitem_ch0116_2,HAS_ITEM
chunk_ch0127,listitem_ch0127_0,HAS_ITEM
chunk_ch0127,listitem_ch0127_1,HAS_ITEM
chunk_ch0127,listitem_ch0127_2,HAS_ITEM
chunk_ch0127,listitem_ch0127_3,HAS_ITEM
chunk_ch0127,listitem_ch0127_4,HAS_ITEM
chunk_ch0127,listitem_ch0127_5,HAS_ITEM
chunk_ch0127,listitem_ch0127_6,HAS_ITEM
chunk_ch0127,listitem_ch0127_7,HAS_ITEM
chunk_ch0137,listitem_ch0137_0,HAS_ITEM
chunk_ch0141,listitem_ch0141_0,HAS_ITEM
chunk_ch0146,listitem_ch0146_0,HAS_ITEM
chunk_ch0161,listitem_ch0161_0,HAS_ITEM
chunk_ch0199,listitem_ch0199_0,HAS_ITEM
chunk_ch0202,listitem_ch0202_0,HAS_ITEM
chunk_ch0202,listitem_ch0202_1,HAS_ITEM
chunk_ch0205,listitem_ch0205_0,HAS_ITEM
chunk_ch0205,listitem_ch0205_1,HAS_ITEM
chunk_ch0220,listitem_ch0220_0,HAS_ITEM
chunk_ch0221,listitem_ch0221_0,HAS_ITEM
chunk_ch0221,listitem_ch0221_1,HAS_ITEM
chunk_ch0221,listitem_ch0221_2,HAS_ITEM
chunk_ch0221,listitem_ch0221_3,HAS_ITEM
chunk_ch0258,listitem_ch0258_0,HAS_ITEM
chunk_ch0285,listitem_ch0285_0,HAS_ITEM
chunk_ch0289,listitem_ch0289_0,HAS_ITEM
chunk_ch0289,listitem_ch0289_1,HAS_ITEM
chunk_ch0289,listitem_ch0289_2,HAS_ITEM
chunk_ch0289,listitem_ch0289_3,HAS_ITEM
chunk_ch0289,listitem_ch0289_4,HAS_ITEM
chunk_ch0289,listitem_ch0289_5,HAS_ITEM
chunk_ch0297,listitem_ch0297_0,HAS_ITEM
chunk_ch0297,listitem_ch0297_1,HAS_ITEM
chunk_ch0297,listitem_ch0297_2,HAS_ITEM
chunk_ch0297,listitem_ch0297_3,HAS_ITEM
chunk_ch0297,listitem_ch0297_4,HAS_ITEM
chunk_ch0358,listitem_ch0358_0,HAS_ITEM
chunk_ch0360,listitem_ch0360_0,HAS_ITEM
chunk_ch0360,listitem_ch0360_1,HAS_ITEM
chunk_ch0369,listitem_ch0369_0,HAS_ITEM
chunk_ch0371,listitem_ch0371_0,HAS_ITEM
chunk_ch0386,listitem_ch0386_0,HAS_ITEM
chunk_ch0388,listitem_ch0388_0,HAS_ITEM
chunk_ch0424,listitem_ch0424_0,HAS_ITEM
chunk_ch0426,listitem_ch0426_0,HAS_ITEM
chunk_ch0428,listitem_ch0428_0,HAS_ITEM
chunk_ch0452,listitem_ch0452_0,HAS_ITEM
chunk_ch0452,listitem_ch0452_1,HAS_ITEM
chunk_ch0452,listitem_ch0452_2,HAS_ITEM
chunk_ch0452,listitem_ch0452_3,HAS_ITEM
chunk_ch0461,listitem_ch0461_0,HAS_ITEM
chunk_ch0461,listitem_ch0461_1,HAS_ITEM
chunk_ch0461,listitem_ch0461_2,HAS_ITEM
chunk_ch0461,listitem_ch0461_3,HAS_ITEM
chunk_ch0480,listitem_ch0480_0,HAS_ITEM
chunk_ch0483,listitem_ch0483_0,HAS_ITEM
chunk_ch0485,listitem_ch0485_0,HAS_ITEM
chunk_ch0485,listitem_ch0485_1,HAS_ITEM
chunk_ch0485,listitem_ch0485_2,HAS_ITEM
chunk_ch0580,listitem_ch0580_0,HAS_ITEM
chunk_ch0580,listitem_ch0580_1,HAS_ITEM
chunk_ch0580,listitem_ch0580_2,HAS_ITEM
chunk_ch0580,listitem_ch0580_3,HAS_ITEM
chunk_ch0637,listitem_ch0637_0,HAS_ITEM
chunk_ch0640,listitem_ch0640_0,HAS_ITEM
chunk_ch0650,listitem_ch0650_0,HAS_ITEM
chunk_ch0656,listitem_ch0656_0,HAS_ITEM
chunk_ch0656,listitem_ch0656_1,HAS_ITEM
chunk_ch0660,listitem_ch0660_0,HAS_ITEM
chunk_ch0660,listitem_ch0660_1,HAS_ITEM
chunk_ch0664,listitem_ch0664_0,HAS_ITEM
chunk_ch0664,listitem_ch0664_1,HAS_ITEM
chunk_ch0664,listitem_ch0664_2,HAS_ITEM
chunk_ch0664,listitem_ch0664_3,HAS_ITEM
chunk_ch0685,listitem_ch0685_0,HAS_ITEM
chunk_ch0685,listitem_ch0685_1,HAS_ITEM
chunk_ch0685,listitem_ch0685_2,HAS_ITEM
chunk_ch0685,listitem_ch0685_3,HAS_ITEM
chunk_ch0685,listitem_ch0685_4,HAS_ITEM
chunk_ch0685,listitem_ch0685_5,HAS_ITEM
chunk_ch0685,listitem_ch0685_6,HAS_ITEM
chunk_ch0685,listitem_ch0685_7,HAS_ITEM
chunk_ch0749,listitem_ch0749_0,HAS_ITEM
chunk_ch0751,listitem_ch0751_0,HAS_ITEM
chunk_ch0753,listitem_ch0753_0,HAS_ITEM
chunk_ch0789,listitem_ch0789_0,HAS_ITEM
chunk_ch0789,listitem_ch0789_1,HAS_ITEM
chunk_ch0789,listitem_ch0789_2,HAS_ITEM
chunk_ch0837,listitem_ch0837_0,HAS_ITEM
chunk_ch0837,listitem_ch0837_1,HAS_ITEM
chunk_ch0837,listitem_ch0837_2,HAS_ITEM
chunk_ch0842,listitem_ch0842_0,HAS_ITEM
chunk_ch0873,listitem_ch0873_0,HAS_ITEM
chunk_ch0875,listitem_ch0875_0,HAS_ITEM
chunk_ch0875,listitem_ch0875_1,HAS_ITEM
chunk_ch0879,listitem_ch0879_0,HAS_ITEM
chunk_ch0879,listitem_ch0879_1,HAS_ITEM
chunk_ch0882,listitem_ch0882_0,HAS_ITEM
chunk_ch0882,listitem_ch0882_1,HAS_ITEM
chunk_ch0885,listitem_ch0885_0,HAS_ITEM
chunk_ch0889,listitem_ch0889_0,HAS_ITEM
chunk_ch0892,listitem_ch0892_0,HAS_ITEM
chunk_ch0895,listitem_ch0895_0,HAS_ITEM
chunk_ch0898,listitem_ch0898_0,HAS_ITEM
chunk_ch0903,listitem_ch0903_0,HAS_ITEM
chunk_ch0905,listitem_ch0905_0,HAS_ITEM
chunk_ch0906,listitem_ch0906_0,HAS_ITEM
chunk_ch0906,listitem_ch0906_1,HAS_ITEM
chunk_ch0906,listitem_ch0906_2,HAS_ITEM
chunk_ch0906,listitem_ch0906_3,HAS_ITEM
chunk_ch0906,listitem_ch0906_4,HAS_ITEM
chunk_ch0906,listitem_ch0906_5,HAS_ITEM
chunk_ch0906,listitem_ch0906_6,HAS_ITEM
chunk_ch0915,listitem_ch0915_0,HAS_ITEM
chunk_ch0956,listitem_ch0956_0,HAS_ITEM
chunk_ch0959,listitem_ch0959_0,HAS_ITEM
chunk_ch0961,listitem_ch0961_0,HAS_ITEM
chunk_ch0962,listitem_ch0962_0,HAS_ITEM
chunk_ch0962,listitem_ch0962_1,HAS_ITEM
chunk_ch0967,listitem_ch0967_0,HAS_ITEM
chunk_ch0969,listitem_ch0969_0,HAS_ITEM
chunk_ch1000,listitem_ch1000_0,HAS_ITEM
chunk_ch1000,listitem_ch1000_1,HAS_ITEM
chunk_ch1035,listitem_ch1035_0,HAS_ITEM
chunk_ch1035,listitem_ch1035_1,HAS_ITEM
chunk_ch1043,listitem_ch1043_0,HAS_ITEM
chunk_ch1046,listitem_ch1046_0,HAS_ITEM
chunk_ch1059,listitem_ch1059_0,HAS_ITEM
chunk_ch1060,listitem_ch1060_0,HAS_ITEM
chunk_ch1060,listitem_ch1060_1,HAS_ITEM
chunk_ch1062,listitem_ch1062_0,HAS_ITEM
chunk_ch1149,listitem_ch1149_0,HAS_ITEM
chunk_ch1149,listitem_ch1149_1,HAS_ITEM
chunk_ch1190,listitem_ch1190_0,HAS_ITEM
chunk_ch1190,listitem_ch1190_1,HAS_ITEM
chunk_ch1190,listitem_ch1190_2,HAS_ITEM
chunk_ch1190,listitem_ch1190_3,HAS_ITEM
chunk_ch1190,listitem_ch1190_4,HAS_ITEM
chunk_ch1190,listitem_ch1190_5,HAS_ITEM
chunk_ch1190,listitem_ch1190_6,HAS_ITEM
chunk_ch1190,listitem_ch1190_7,HAS_ITEM
chunk_ch1190,listitem_ch1190_8,HAS_ITEM
chunk_ch1211,listitem_ch1211_0,HAS_ITEM
chunk_ch1211,listitem_ch1211_1,HAS_ITEM
chunk_ch1211,listitem_ch1211_2,HAS_ITEM
chunk_ch1211,listitem_ch1211_3,HAS_ITEM
chunk_ch1211,listitem_ch1211_4,HAS_ITEM
chunk_ch1225,listitem_ch1225_0,HAS_ITEM
chunk_ch1225,listitem_ch1225_1,HAS_ITEM
chunk_ch1225,listitem_ch1225_2,HAS_ITEM
chunk_ch1225,listitem_ch1225_3,HAS_ITEM
chunk_ch1225,listitem_ch1225_4,HAS_ITEM
chunk_ch1225,listitem_ch1225_5,HAS_ITEM
chunk_ch1232,listitem_ch1232_0,HAS_ITEM
chunk_ch1232,listitem_ch1232_1,HAS_ITEM
chunk_ch1250,listitem_ch1250_0,HAS_ITEM
chunk_ch1250,listitem_ch1250_1,HAS_ITEM
chunk_ch1250,listitem_ch1250_2,HAS_ITEM
chunk_ch1258,listitem_ch1258_0,HAS_ITEM
chunk_ch1258,listitem_ch1258_1,HAS_ITEM
chunk_ch1284,listitem_ch1284_0,HAS_ITEM
chunk_ch1286,listitem_ch1286_0,HAS_ITEM
chunk_ch1286,listitem_ch1286_1,HAS_ITEM
chunk_ch1286,listitem_ch1286_2,HAS_ITEM
chunk_ch1286,listitem_ch1286_3,HAS_ITEM
chunk_ch1286,listitem_ch1286_4,HAS_ITEM
chunk_ch1294,listitem_ch1294_0,HAS_ITEM
chunk_ch1294,listitem_ch1294_1,HAS_ITEM
chunk_ch1294,listitem_ch1294_2,HAS_ITEM
chunk_ch1294,listitem_ch1294_3,HAS_ITEM
chunk_ch1294,listitem_ch1294_4,HAS_ITEM
chunk_ch1294,listitem_ch1294_5,HAS_ITEM
chunk_ch1294,listitem_ch1294_6,HAS_ITEM
chunk_ch1323,listitem_ch1323_0,HAS_ITEM
chunk_ch1323,listitem_ch1323_1,HAS_ITEM
chunk_ch1327,listitem_ch1327_0,HAS_ITEM
chunk_ch1328,listitem_ch1328_0,HAS_ITEM
chunk_ch1331,listitem_ch1331_0,HAS_ITEM
chunk_ch1331,listitem_ch1331_1,HAS_ITEM
chunk_ch1331,listitem_ch1331_2,HAS_ITEM
chunk_ch1338,listitem_ch1338_0,HAS_ITEM
chunk_ch1338,listitem_ch1338_1,HAS_ITEM
chunk_ch1338,listitem_ch1338_2,HAS_ITEM
chunk_ch1352,listitem_ch1352_0,HAS_ITEM
chunk_ch1355,listitem_ch1355_0,HAS_ITEM
chunk_ch1361,listitem_ch1361_0,HAS_ITEM
chunk_ch1366,listitem_ch1366_0,HAS_ITEM
chunk_ch1376,listitem_ch1376_0,HAS_ITEM
chunk_ch1376,listitem_ch1376_1,HAS_ITEM
