source,target,relation
section_ch0001,chunk_ch0001,HAS_CHUNK
section_ch0001,section_ch0002,HAS_SUBSECTION
section_ch0002,chunk_ch0002,HAS_CHUNK
section_ch0002,chunk_ch0003,HAS_CHUNK
section_ch0002,chunk_ch0004,HAS_CHUNK
section_ch0002,chunk_ch0005,HAS_CHUNK
section_ch0002,chunk_ch0006,HAS_CHUNK
section_ch0002,chunk_ch0007,HAS_CHUNK
section_ch0002,chunk_ch0008,HAS_CHUNK
section_ch0002,chunk_ch0009,HAS_CHUNK
section_ch0002,chunk_ch0010,HAS_CHUNK
section_ch0002,chunk_ch0011,HAS_CHUNK
section_ch0001,section_ch0012,HAS_SUBSECTION
section_ch0012,chunk_ch0012,HAS_CHUNK
section_ch0012,chunk_ch0013,HAS_CHUNK
section_ch0012,chunk_ch0014,HAS_CHUNK
section_ch0012,chunk_ch0016,HAS_CHUNK
section_ch0012,chunk_ch0017,HAS_CHUNK
section_ch0012,chunk_ch0018,HAS_CHUNK
section_ch0012,chunk_ch0019,HAS_CHUNK
section_ch0012,chunk_ch0021,HAS_CHUNK
section_ch0012,chunk_ch0022,HAS_CHUNK
section_ch0012,chunk_ch0023,HAS_CHUNK
section_ch0012,chunk_ch0024,HAS_CHUNK
section_ch0025,chunk_ch0025,HAS_CHUNK
section_ch0025,chunk_ch0026,HAS_CHUNK
section_ch0025,chunk_ch0027,HAS_CHUNK
section_ch0025,chunk_ch0028,HAS_CHUNK
section_ch0025,chunk_ch0029,HAS_CHUNK
section_ch0025,chunk_ch0030,HAS_CHUNK
section_ch0025,chunk_ch0031,HAS_CHUNK
section_ch0025,chunk_ch0032,HAS_CHUNK
section_ch0025,chunk_ch0033,HAS_CHUNK
section_ch0025,chunk_ch0034,HAS_CHUNK
section_ch0025,chunk_ch0037,HAS_CHUNK
section_ch0025,chunk_ch0038,HAS_CHUNK
section_ch0025,chunk_ch0039,HAS_CHUNK
section_ch0025,chunk_ch0040,HAS_CHUNK
section_ch0025,chunk_ch0041,HAS_CHUNK
section_ch0025,chunk_ch0042,HAS_CHUNK
section_ch0025,chunk_ch0043,HAS_CHUNK
section_ch0025,chunk_ch0044,HAS_CHUNK
section_ch0025,chunk_ch0045,HAS_CHUNK
section_ch0025,chunk_ch0046,HAS_CHUNK
section_ch0047,chunk_ch0047,HAS_CHUNK
section_ch0047,chunk_ch0048,HAS_CHUNK
section_ch0047,chunk_ch0049,HAS_CHUNK
section_ch0047,chunk_ch0050,HAS_CHUNK
section_ch0047,chunk_ch0051,HAS_CHUNK
section_ch0047,chunk_ch0052,HAS_CHUNK
section_ch0047,chunk_ch0053,HAS_CHUNK
section_ch0047,chunk_ch0054,HAS_CHUNK
section_ch0047,chunk_ch0055,HAS_CHUNK
section_ch0047,chunk_ch0056,HAS_CHUNK
section_ch0047,chunk_ch0057,HAS_CHUNK
section_ch0047,chunk_ch0058,HAS_CHUNK
section_ch0047,chunk_ch0059,HAS_CHUNK
section_ch0047,chunk_ch0060,HAS_CHUNK
section_ch0047,chunk_ch0061,HAS_CHUNK
section_ch0047,chunk_ch0062,HAS_CHUNK
section_ch0047,chunk_ch0063,HAS_CHUNK
section_ch0047,chunk_ch0064,HAS_CHUNK
section_ch0047,chunk_ch0065,HAS_CHUNK
section_ch0047,chunk_ch0067,HAS_CHUNK
section_ch0047,chunk_ch0068,HAS_CHUNK
section_ch0047,chunk_ch0069,HAS_CHUNK
section_ch0047,chunk_ch0070,HAS_CHUNK
section_ch0047,chunk_ch0071,HAS_CHUNK
section_ch0047,chunk_ch0072,HAS_CHUNK
section_ch0047,chunk_ch0073,HAS_CHUNK
section_ch0047,chunk_ch0074,HAS_CHUNK
section_ch0047,chunk_ch0075,HAS_CHUNK
section_ch0047,chunk_ch0076,HAS_CHUNK
section_ch0047,chunk_ch0078,HAS_CHUNK
section_ch0047,chunk_ch0079,HAS_CHUNK
section_ch0047,chunk_ch0080,HAS_CHUNK
section_ch0047,chunk_ch0081,HAS_CHUNK
section_ch0047,chunk_ch0082,HAS_CHUNK
