id,label,figure_id,figure_number,page,caption_text,file,saved_ext,bbox,width_px,height_px
figure_fig_0001,Figure,fig_0001,1,7,Рисунок 1 — Функциональная структура Maxbot,data\images\fig_0001.png,png,"(34.70000076293945, 85.0, 807.1500244140625, 484.6300048828125)",3220,1666
figure_fig_0002,Figure,fig_0002,2,8,Рисунок 2 — Пример разработки сценария рассылки в конструкторе,data\images\fig_0002.png,png,"(55.91999816894531, 171.59999084472656, 576.5399780273438, 312.29998779296875)",2170,587
figure_fig_0003,Figure,fig_0003,3,9,Рисунок 3 — Окно авторизации консоли маркетолога,data\images\fig_0003.png,png,"(199.1999969482422, 534.9599609375, 424.1400146484375, 780.7799682617188)",938,1025
figure_fig_0004,Figure,fig_0004,4,10,Рисунок 4 — Выбор языка консоли маркетолога,data\images\fig_0004.png,png,"(202.32000732421875, 130.7999725341797, 421.739990234375, 293.3399658203125)",915,678
figure_fig_0005,Figure,fig_0005,5,10,Рисунок 5 — Ввод имени,data\images\fig_0005.png,png,"(202.32000732421875, 319.199951171875, 421.5, 480.77996826171875)",914,674
figure_fig_0006,Figure,fig_0006,6,10,Рисунок 6 — Все готово к использованию консоли маркетолога,data\images\fig_0006.png,png,"(201.60000610351562, 552.239990234375, 421.260009765625, 723.4199829101562)",916,714
figure_fig_0007,Figure,fig_0007,7,11,Рисунок 7 — Интерфейс консоли управления после авторизации маркетолога,data\images\fig_0007.png,png,"(55.91999816894531, 115.43998718261719, 576.5399780273438, 352.1399841308594)",2170,987
figure_fig_0008,Figure,fig_0008,8,11,Рисунок 8 — Пример структуры каталогов для рассылок,data\images\fig_0008.png,png,"(221.75999450683594, 498.9599914550781, 401.0999755859375, 754.8599853515625)",748,1067
figure_fig_0009,Figure,fig_0009,9,12,Рисунок 9 — Отображение кнопки для просмотра структуры каталогов рассылок в мобильной версии,data\images\fig_0009.png,png,"(185.75999450683594, 89.99996948242188, 437.3399963378906, 348.77996826171875)",1049,1079
figure_fig_0010,Figure,fig_0010,10,12,Рисунок 10 — Контекстное меню,data\images\fig_0010.png,png,"(237.60000610351562, 468.239990234375, 386.46002197265625, 638.219970703125)",621,709
figure_fig_0011,Figure,fig_0011,11,13,Рисунок 11— Меню для перехода в консоль оператора или администратора,data\images\fig_0011.png,png,"(237.60000610351562, 43.19995880126953, 386.2200012207031, 122.4599609375)",620,331
figure_fig_0012,Figure,fig_0012,12,13,Рисунок 12 — Переход к созданию рассылки,data\images\fig_0012.png,png,"(63.599998474121094, 197.27996826171875, 559.5, 415.4999694824219)",2067,910
figure_fig_0013,Figure,fig_0013,13,13,Рисунок 13 — Ввод названия и выбор типа рассылки,data\images\fig_0013.png,png,"(204.47999572753906, 487.4399719238281, 419.3399963378906, 683.0999755859375)",896,816
figure_fig_0014,Figure,fig_0014,14,14,Рисунок 14 — Интерфейс настройки рассылки (открыт конструктор рассылки),data\images\fig_0014.png,png,"(55.91999816894531, 361.43994140625, 576.5399780273438, 602.699951171875)",2170,1006
figure_fig_0015,Figure,fig_0015,15,15,Рисунок 15 — Расположение кнопок запуска / остановки в списке рассылок,data\images\fig_0015.png,png,"(55.91999816894531, 43.19996643066406, 576.5399780273438, 201.89996337890625)",2170,662
figure_fig_0016,Figure,fig_0016,16,15,Рисунок 16 — Расположение кнопок меню в списке рассылок,data\images\fig_0016.png,png,"(221.75999450683594, 430.8000183105469, 401.3399963378906, 655.02001953125)",749,935
figure_fig_0017,Figure,fig_0017,17,16,Рисунок 17 — Расположение кнопок запуска / остановки в списке рассылок,data\images\fig_0017.png,png,"(55.91999816894531, 43.19996643066406, 576.5399780273438, 201.89996337890625)",2170,662
figure_fig_0018,Figure,fig_0018,18,16,"Рисунок 18 - Фильтры, применяемые в каталоге рассылок",data\images\fig_0018.png,png,"(180.47999572753906, 302.15997314453125, 443.3399658203125, 445.01995849609375)",1096,596
figure_fig_0019,Figure,fig_0019,19,17,Рисунок 19 — Создан сценарий простейшей рассылки,data\images\fig_0019.png,png,"(55.91999816894531, 43.199981689453125, 576.5399780273438, 276.29998779296875)",2170,972
figure_fig_0020,Figure,fig_0020,20,18,Рисунок 20 — Ввод текстового сообщения для отправки,data\images\fig_0020.png,png,"(185.0399932861328, 43.199981689453125, 438.7799987792969, 179.0999755859375)",1058,567
figure_fig_0021,Figure,fig_0021,21,19,Рисунок 21 — Переход к добавлению медиа-контента,data\images\fig_0021.png,png,"(206.16000366210938, 228.239990234375, 416.94000244140625, 418.8599853515625)",879,795
figure_fig_0022,Figure,fig_0022,22,19,Рисунок 22 — Добавление медиа-контента,data\images\fig_0022.png,png,"(186.47999572753906, 494.3999938964844, 436.6199951171875, 633.1799926757812)",1043,579
figure_fig_0023,Figure,fig_0023,23,20,Рисунок 23 — Добавление медиа группы,data\images\fig_0023.png,png,"(228.47999572753906, 223.91998291015625, 412.3800048828125, 390.29998779296875)",767,694
figure_fig_0024,Figure,fig_0024,24,20,Рисунок 24 — Редактор медиа групп,data\images\fig_0024.png,png,"(129.60000610351562, 458.8800048828125, 515.0999755859375, 711.1799926757812)",1607,1052
figure_fig_0025,Figure,fig_0025,25,21,Рисунок 25 — Взаимодействие с элементами в правой панели,data\images\fig_0025.png,png,"(132.72000122070312, 277.44000244140625, 511.739990234375, 525.4199829101562)",1580,1034
figure_fig_0026,Figure,fig_0026,26,22,Рисунок 26 — Создание события для отправки изображений в медиа группе,data\images\fig_0026.png,png,"(185.27999877929688, 43.19999694824219, 495.4200134277344, 294.05999755859375)",1293,1046
figure_fig_0027,Figure,fig_0027,27,22,Рисунок 27 — Использование макросов с изображениями,data\images\fig_0027.png,png,"(135.60000610351562, 403.20001220703125, 508.8600158691406, 649.260009765625)",1556,1026
figure_fig_0028,Figure,fig_0028,28,23,Рисунок 28 — Генерация события с аргументами,data\images\fig_0028.png,png,"(142.55999755859375, 84.0, 502.1399841308594, 294.05999755859375)",1499,876
figure_fig_0029,Figure,fig_0029,29,23,Рисунок 29 — Создания аргументов события для медиа группы,data\images\fig_0029.png,png,"(132.0, 397.44000244140625, 512.219970703125, 676.1400146484375)",1585,1162
figure_fig_0030,Figure,fig_0030,30,24,Рисунок 30 — Создания медиа группы с разными типами,data\images\fig_0030.png,png,"(134.8800048828125, 43.19999694824219, 510.05999755859375, 289.5)",1564,1027
figure_fig_0031,Figure,fig_0031,31,24,Рисунок 31 — Генерация события для медиа группы с типами медиа,data\images\fig_0031.png,png,"(137.27999877929688, 375.1199951171875, 508.3800048828125, 559.260009765625)",1547,768
figure_fig_0032,Figure,fig_0032,32,25,Рисунок 32 — Переход к добавлению кнопки-действия,data\images\fig_0032.png,png,"(206.16000366210938, 43.19996643066406, 417.6600036621094, 234.77996826171875)",882,799
figure_fig_0033,Figure,fig_0033,33,25,Рисунок 33 — Добавление кнопки-действия,data\images\fig_0033.png,png,"(203.75999450683594, 323.760009765625, 419.58001708984375, 559.739990234375)",900,984
figure_fig_0034,Figure,fig_0034,34,26,Рисунок 34 — Второй блок выполняется сразу при нажатии на кнопку,data\images\fig_0034.png,png,"(55.91999816894531, 43.199951171875, 576.5399780273438, 221.5799560546875)",2170,744
figure_fig_0035,Figure,fig_0035,35,26,Рисунок 35 — Пример возврата,data\images\fig_0035.png,png,"(55.91999816894531, 345.11993408203125, 576.5399780273438, 566.699951171875)",2170,924
figure_fig_0036,Figure,fig_0036,36,27,Рисунок 36 — В блок добавлено две кнопки-действия,data\images\fig_0036.png,png,"(172.32000732421875, 43.199951171875, 450.5400085449219, 293.5799560546875)",1160,1044
figure_fig_0037,Figure,fig_0037,37,27,"Рисунок 37 - Текст с кнопкой, который обрежется в некоторых мессенджерах",data\images\fig_0037.png,png,"(151.1999969482422, 517.9200439453125, 471.9000244140625, 679.260009765625)",1337,673
figure_fig_0038,Figure,fig_0038,38,28,Рисунок 38 - Добавлено отдельное сообщение,data\images\fig_0038.png,png,"(154.32000732421875, 43.20001220703125, 469.7400207519531, 245.82000732421875)",1315,845
figure_fig_0039,Figure,fig_0039,39,28,Рисунок 39 — Переход к добавлению кнопки-ссылки,data\images\fig_0039.png,png,"(212.16000366210938, 361.20001220703125, 410.94000244140625, 541.02001953125)",829,750
figure_fig_0040,Figure,fig_0040,40,28,Рисунок 40 — Создание кнопки-ссылки,data\images\fig_0040.png,png,"(197.75999450683594, 594.719970703125, 425.3399963378906, 775.5)",949,754
figure_fig_0041,Figure,fig_0041,41,29,Рисунок 41 — Отправка конфиденциальной информации при помощи тега <security></security>,data\images\fig_0041.png,png,"(119.04000091552734, 325.44000244140625, 505.02001953125, 460.1400146484375)",1609,562
figure_fig_0042,Figure,fig_0042,42,29,Рисунок 42 — Отображение содержимого тега <security> для клиента и для оператора,data\images\fig_0042.png,png,"(119.04000091552734, 531.5999755859375, 504.7799987792969, 615.6599731445312)",1608,351
figure_fig_0043,Figure,fig_0043,43,30,Рисунок 43 — Использование значения макроса в качестве конфиденциальной информации,data\images\fig_0043.png,png,"(120.4800033569336, 43.19999694824219, 503.1000061035156, 162.05999755859375)",1595,496
figure_fig_0044,Figure,fig_0044,44,30,Рисунок 44 — Выбор действия,data\images\fig_0044.png,png,"(138.47999572753906, 368.63995361328125, 484.6199951171875, 662.699951171875)",1443,1226
figure_fig_0045,Figure,fig_0045,45,31,Рисунок 45 — Настройка действия перевода в канал,data\images\fig_0045.png,png,"(176.8800048828125, 323.0400085449219, 446.70001220703125, 772.1400146484375)",1125,1872
figure_fig_0046,Figure,fig_0046,46,32,Рисунок 46 — Пример рассылки с переводом в канал,data\images\fig_0046.png,png,"(55.91999816894531, 356.8800048828125, 576.5399780273438, 517.5)",2170,670
figure_fig_0047,Figure,fig_0047,47,32,Рисунок 47 — Клиент переведен в канал без сообщения,data\images\fig_0047.png,png,"(74.87999725341797, 576.239990234375, 547.97998046875, 765.6599731445312)",1972,790
figure_fig_0048,Figure,fig_0048,48,33,Рисунок 48 — Ввод условия перевода клиента в канал только при наличии от него сообщения,data\images\fig_0048.png,png,"(178.32000732421875, 90.0, 444.7799987792969, 267.17999267578125)",1111,739
figure_fig_0049,Figure,fig_0049,49,33,Рисунок 49 — Клиент переведен в канал после отправки им сообщения,data\images\fig_0049.png,png,"(89.76000213623047, 338.15997314453125, 534.0599975585938, 597.4199829101562)",1852,1081
figure_fig_0050,Figure,fig_0050,50,34,Рисунок 50 — Выбор действия,data\images\fig_0050.png,png,"(161.0399932861328, 43.199981689453125, 462.53997802734375, 300.77996826171875)",1257,1074
figure_fig_0051,Figure,fig_0051,51,34,Рисунок 51 — Пример использования события отмены отправки запланированных сообщений,data\images\fig_0051.png,png,"(55.91999816894531, 447.8399658203125, 573.6599731445312, 686.219970703125)",2158,994
figure_fig_0052,Figure,fig_0052,52,35,Рисунок 52 — Выбор действия,data\images\fig_0052.png,png,"(138.47999572753906, 189.11996459960938, 484.3800048828125, 485.0999755859375)",1442,1234
figure_fig_0053,Figure,fig_0053,53,35,Рисунок 53 — Использование действия отмены работы уже отправленных в рассылку кнопок,data\images\fig_0053.png,png,"(55.91999816894531, 573.1199951171875, 575.3399658203125, 751.5)",2165,744
