id,label,chunk_id,order,page_start,page_end,text
listitem_ch0014_0,ListItem,ch0014,0,8,8,Информационные;
listitem_ch0014_1,ListItem,ch0014,1,8,8,Целевые.
listitem_ch0019_0,ListItem,ch0019,0,8,8,сообщение о готовности заказа;
listitem_ch0019_1,ListItem,ch0019,1,8,8,отправка клиенту секретного кода.
listitem_ch0030_0,ListItem,ch0030,0,9,9,1. Перейти в браузере по ссылке
listitem_ch0033_0,ListItem,ch0033,0,9,9,2. В открывшемся окне (см. Рисунок 3) ввести данные в форму авторизации:
listitem_ch0034_0,ListItem,ch0034,0,9,9,Компания — указать название компании;
listitem_ch0034_1,ListItem,ch0034,1,9,9,Логин — ввести логин учетной записи маркетолога;
listitem_ch0034_2,ListItem,ch0034,2,9,9,Пароль — ввести пароль учетной записи маркетолога.
listitem_ch0065_0,ListItem,ch0065,0,13,13,"3 вкладки, каждая из которых отвечает за соответствующий этап настройки рассылки:"
listitem_ch0065_1,ListItem,ch0065,1,13,13,«Конструктор рассылки» (открывается по умолчанию) — вкладка для
listitem_ch0070_0,ListItem,ch0070,0,14,14,"«Условия начала рассылки» — вкладка для определения условий запуска рассылки и действующих ограничений, см. подробнее в разделе"
listitem_ch0073_0,ListItem,ch0073,0,14,14,"«Целевая аудитория» — вкладка для подготовки данных для рассылок с фиксированной аудиторией, см. подробнее в разделе"
listitem_ch0076_0,ListItem,ch0076,0,14,14,"2 вкладки, отражающие результаты запуска рассылки:"
listitem_ch0076_1,ListItem,ch0076,1,14,14,«Статистика» — вкладка для просмотра
listitem_ch0080_0,ListItem,ch0080,0,14,14,"«Журнал» — вкладка для просмотра статусов отправки рассылки для клиентов, см. подробнее в разделе"
listitem_ch0083_0,ListItem,ch0083,0,14,14,Тип рассылки;
listitem_ch0083_1,ListItem,ch0083,1,14,14,Состояние рассылки;
listitem_ch0083_2,ListItem,ch0083,2,14,14,Кнопка для обновления сценария рассылки;
listitem_ch0083_3,ListItem,ch0083,3,14,14,Иконки для управления запуском и остановкой рассылки. Подробнее об управлении запуском рассылки (состоянием рассылки) см. в разделе
listitem_ch0094_0,ListItem,ch0094,0,15,15,Посмотреть
listitem_ch0097_0,ListItem,ch0097,0,15,15,Посмотреть
listitem_ch0100_0,ListItem,ch0100,0,15,15,Выгрузить данные
listitem_ch0102_0,ListItem,ch0102,0,15,15,Сгенерировать событие;
listitem_ch0102_1,ListItem,ch0102,1,15,15,Переместить рассылку в нужный каталог;
listitem_ch0102_2,ListItem,ch0102,2,15,15,Клонировать (дублировать) рассылку;
listitem_ch0102_3,ListItem,ch0102,3,15,15,Удалить рассылку.
listitem_ch0116_0,ListItem,ch0116,0,16,16,события Start;
listitem_ch0116_1,ListItem,ch0116,1,16,16,блоков действий;
listitem_ch0116_2,ListItem,ch0116,2,16,16,связей между блоками действий.
listitem_ch0127_0,ListItem,ch0127,0,17,17,1. Отправка сообщения;
listitem_ch0127_1,ListItem,ch0127,1,17,17,"2. Отправка сообщения, содержащего конфиденциальные данные для клиента;"
listitem_ch0127_2,ListItem,ch0127,2,17,17,3. Перевод в канал;
listitem_ch0127_3,ListItem,ch0127,3,17,17,4. Отмена отправки запланированных сообщений этой рассылки;
listitem_ch0127_4,ListItem,ch0127,4,17,17,5. Отмена действия кнопок рассылки;
listitem_ch0127_5,ListItem,ch0127,5,17,17,6. Вызов внешней системы;
listitem_ch0127_6,ListItem,ch0127,6,17,17,7. Генерация события;
listitem_ch0127_7,ListItem,ch0127,7,17,17,8. Генерация интента.
listitem_ch0137_0,ListItem,ch0137,0,17,17,"1. Текст сообщения — текст, который будет отправлен клиенту в мессенджер. Для ввода текста используется поле стандартного блока действий (см. Рисунок 20);"
listitem_ch0141_0,ListItem,ch0141,0,18,18,"2. Медиа-контент — изображения, видео, аудио и документы, которые могут быть добавлены к сообщению. Поддерживаются наиболее распространенные форматы (см. таблицу 1)."
listitem_ch0146_0,ListItem,ch0146,0,18,18,* Изображение JPG JPEG PNG Да Да Да Да Да
listitem_ch0161_0,ListItem,ch0161,0,19,19,"3. Медиа группа — изображения и видео, которые могут быть добавлены к сообщению группой."
listitem_ch0199_0,ListItem,ch0199,0,22,22,2. Создать рассылку и настроить ее на
listitem_ch0202_0,ListItem,ch0202,0,22,22,3. В конструкторе рассылки в блок добавить медиа группу;
listitem_ch0202_1,ListItem,ch0202,1,22,22,"4. В медиа группу добавить то же самое количество URL, что и в аргументах события (см. Рисунок 27);"
listitem_ch0205_0,ListItem,ch0205,0,22,22,"5. В поле URL ввести аргументы события в фигурных скобках, указав в каждом поле только один аргумент, тип файла оставить как изображение (см. Рисунок 27);"
listitem_ch0205_1,ListItem,ch0205,1,22,22,6. Сохранить медиа группу.
listitem_ch0220_0,ListItem,ch0220,0,24,24,"4. Кнопки-действия — это кнопки, позволяющие выполнять следующие действия:"
listitem_ch0221_0,ListItem,ch0221,0,24,24,Вызвать другой блок действий;
listitem_ch0221_1,ListItem,ch0221,1,24,24,Добавить клиенту теги;
listitem_ch0221_2,ListItem,ch0221,2,24,24,Снять теги с клиента;
listitem_ch0221_3,ListItem,ch0221,3,24,24,Отписать клиента от рассылок (всех)
listitem_ch0258_0,ListItem,ch0258,0,28,28,"5. Кнопки-ссылки — кнопки, позволяющие клиенту перейти по заданной ссылке из мессенджера."
listitem_ch0285_0,ListItem,ch0285,0,30,30,"Выберите канал — канал, в который необходимо перевести клиента;"
listitem_ch0289_0,ListItem,ch0289,0,31,31,"Текст при переводе в канал — сообщение, которое будет отправлено клиенту при переводе в канал (если оставить его пустым, то сообщение не будет отправляться);"
listitem_ch0289_1,ListItem,ch0289,1,31,31,"Текст при откладывании перевода в канал — сообщение, которое будет оправлено клиенту, если в момент выполнения действия у него есть открытый диалог и он не свободный (т. е. клиент обсуждает с оператором или ботом какой-то вопрос);"
listitem_ch0289_2,ListItem,ch0289,2,31,31,"Текст перед отложенным переводом в канал — сообщение, которое будет отправлено клиенту при переводе в канал, если он ранее был отложен;"
listitem_ch0289_3,ListItem,ch0289,3,31,31,Переключатель условия перевода в канал:
listitem_ch0289_4,ListItem,ch0289,4,31,31,Перевести сразу (значение по умолчанию) — клиент будет переведен в канал без каких-либо дополнительных условий (кроме наличия открытого/свободного диалога);
listitem_ch0289_5,ListItem,ch0289,5,31,31,"Перевести после получения сообщения от клиента — клиент будет переведен только после получения от него сообщения и в соответствии с настройками, указанными ниже;"
listitem_ch0297_0,ListItem,ch0297,0,32,32,"Время ожидания сообщения — время, которое бот ожидает сообщения от клиента для перевода его в канал. Можно установить время не более 2 часов (ограничение введено, чтобы маркетолог не мог надолго «блокировать» клиента: поскольку в момент ожидания не могут выполняться другие рассылки, а также клиенту не смогут отправлять сообщения операторы);"
listitem_ch0297_1,ListItem,ch0297,1,32,32,"Если клиент не ответил за заданное время — действие, которое бот выполнит, не дождавшись сообщения от клиента в течение «времени ожидания сообщения»:"
listitem_ch0297_2,ListItem,ch0297,2,32,32,"«Ничего не делать» — бот не будет предпринимать каких-либо действий; клиент не будет переведен в канал, рассылка при этом продолжится согласно сценарию;"
listitem_ch0297_3,ListItem,ch0297,3,32,32,"«Перевести в канал безусловно» — клиент будет переведен в канал, при этом можно задать другой канал (отличный от исходно заданного);"
listitem_ch0297_4,ListItem,ch0297,4,32,32,"«Отправить сообщение» — клиенту будет отправлено сообщение, заданное в поле ниже; клиент не будет переведен в канал."
listitem_ch0358_0,ListItem,ch0358,0,38,38,промокод — строка;
listitem_ch0360_0,ListItem,ch0360,0,39,39,размер скидки (%) — число;
listitem_ch0360_1,ListItem,ch0360,1,39,39,действует до — строка.
listitem_ch0369_0,ListItem,ch0369,0,39,39,только для текущего клиента
listitem_ch0371_0,ListItem,ch0371,0,39,39,для множества клиентов (для рассылок с фиксированной аудиторией).
listitem_ch0386_0,ListItem,ch0386,0,42,42,"1. Нажать на кнопку и в раскрывшемся меню выбрать пункт «Действие», после чего выбрать «Сгенерировать intent» (см. Рисунок 63)."
listitem_ch0388_0,ListItem,ch0388,0,42,42,"2. В настройках действия (см. Рисунок 64) задать название интента и (необязательно) словарь сущностей (entities). Важно, что в поле «Entities» должен быть задан именно словарь в формате JSON (как на рисунке ниже), иначе выполнение сценария рассылки завершится ошибкой."
listitem_ch0424_0,ListItem,ch0424,0,45,45,"1. Событие Start, т. е. начало выполнения сценария рассылки (см. Рисунок 68);"
listitem_ch0426_0,ListItem,ch0426,0,45,45,2. Нажатие на кнопку-действие (см. Рисунок 69);
listitem_ch0428_0,ListItem,ch0428,0,45,45,"3. Отправка сообщения клиенту. От события отправки сообщения также можно строить связь, для этого следует начать связь из точки в правом нижнем углу (см. Рисунок 70). Важно, что это событие происходит только когда сообщение непосредственно ставится в очередь на отправку, а не когда сообщение должно было отправиться."
listitem_ch0452_0,ListItem,ch0452,0,48,48,Условия начала рассылки для клиентов (1);
listitem_ch0452_1,ListItem,ch0452,1,48,48,"Время, после которого рассылка не начнется для клиента (2);"
listitem_ch0452_2,ListItem,ch0452,2,48,48,"Время, когда никакие действия рассылки не выполняются для клиента (3);"
listitem_ch0452_3,ListItem,ch0452,3,48,48,Расширенные настройки (4).
listitem_ch0461_0,ListItem,ch0461,0,49,49,"изменение условия начала рассылки (т. е., например, перехода от тега к событию),"
listitem_ch0461_1,ListItem,ch0461,1,49,49,"изменение тега или события, которые начинают рассылку,"
listitem_ch0461_2,ListItem,ch0461,2,49,49,"изменение времени, в которое начнется рассылка (для рассылок с фиксированной аудиторией, которые начинаются в заданное время);"
listitem_ch0461_3,ListItem,ch0461,3,49,49,"изменение времени, после которого рассылка не начнется для клиента."
listitem_ch0480_0,ListItem,ch0480,0,50,50,"Даты начала и окончания — определяют время, когда рассылка начнется"
listitem_ch0483_0,ListItem,ch0483,0,50,50,"Две группы с одинаковыми настройками, определяющих, как рассылка должна проводиться в рабочие и в выходные дни."
listitem_ch0485_0,ListItem,ch0485,0,50,50,"«Часы работы» — часы, в которые рассылка будет пытаться начаться для очередной подгруппы клиентов;"
listitem_ch0485_1,ListItem,ch0485,1,50,50,"«Отправлять каждые» — интервал, через который рассылка будет начинаться для следующей группы клиентов;"
listitem_ch0485_2,ListItem,ch0485,2,50,50,"«Максимальное количество клиентов за одну отправку» — размер группы клиентов, для которых рассылка будет начинаться через каждый заданный интервал времени."
listitem_ch0580_0,ListItem,ch0580,0,57,57,"Регистр букв не учитывается. Например, если в настройках рассылки будет указано слово «ХочуСкидку», а клиент пришлет «хочускидку», то рассылка начнется;"
listitem_ch0580_1,ListItem,ch0580,1,57,57,"Пробельные символы до и после слова/фразы не учитываются. Например, если в настройках рассылки будет указано слово «ХочуСкидку», а клиент пришлет «  ХочуСкидку   », то рассылка начнется;"
listitem_ch0580_2,ListItem,ch0580,2,57,57,"Проверяется совпадение всего сообщения целиком. Например, если в настройках рассылки будет указано слово «ХочуСкидку», а клиент пришлет «ХочуСкидку, пожалуйста», то рассылка не начнется;"
listitem_ch0580_3,ListItem,ch0580,3,57,57,"Минимальная длина ключевого слова – один символ. Например, можно использовать смайлик – ."
listitem_ch0637_0,ListItem,ch0637,0,61,61,"«Отправлять клиентам, которые уже получали эту рассылку». Если флажок снят, то рассылка для каждого клиента начнется только однажды. Если флажок установлен, то для каждого клиента может быть запущено неограниченное количество одной и той же рассылки."
listitem_ch0640_0,ListItem,ch0640,0,62,62,"«Исключить клиентов, добавленных в рассылки». При запуске одинаковых рассылок на несколько разных аудиторий возможна следующая проблема: из-за неточного разделения на аудитории некоторые из клиентов могут получить одинаковые рассылки несколько раз."
listitem_ch0650_0,ListItem,ch0650,0,62,62,"«Останавливать рассылку для клиентов, получивших один из тегов | у которых удален один из тегов» — при выставлении или снятии с клиента заданного тега его рассылка может быть принудительно остановлена. Это может быть полезно, например, если клиенту запущена рассылка, целью которой является предложение какой-то услуги. Когда клиент приобретает услугу, ему можно выставить соответствующий тег, и рассылка остановится."
listitem_ch0656_0,ListItem,ch0656,0,63,63,"При нажатии клиентом кнопки-действия, в настройках которой задано снимать тег;"
listitem_ch0656_1,ListItem,ch0656,1,63,63,"Вызовом API консоли маркетолога, см. подробнее запрос «Изменение тегов клиентов» в разделе"
listitem_ch0660_0,ListItem,ch0660,0,63,63,"«Отправлять сообщения, даже если клиент отписался от рассылок» — эта опция позволяет отправлять рассылку клиентам даже если они отписались от рассылок. Не следует злоупотреблять этой возможностью в маркетинговых целях. Она предназначена для оповещения клиентов о критически важной информации и работы информационных рассылок."
listitem_ch0660_1,ListItem,ch0660,1,63,63,"SMS-провайдер — это поле определяет провайдер, который будет использоваться для отправки SMS. Без выбора провайдера добавление SMS-блоков в рассылку будет невозможно (см. также раздел"
listitem_ch0664_0,ListItem,ch0664,0,63,63,"Тэги сообщений – это поле определяет специальный тег для отправки рассылок клиентам Facebook*. Без тега клиенту Facebook* не будут приходить рассылки, если за последние 24-часа клиент не общался с ботом или оператором. Для того, чтобы рассылки приходили клиентам всегда, необходимо выставить один из тэгов, который будет соответствовать цели рассылки:"
listitem_ch0664_1,ListItem,ch0664,1,63,63,"CONFIRMED_EVENT_UPDATE - Отправка клиенту напоминаний или обновлений в связи с мероприятиями, на которые он зарегистрировался."
